2026-04-11 11:43:49,751 - Database - INFO - ✅ 成功同步 306 条记录到 stock_daily
2026-04-11 11:43:49,751 - TestRunner - INFO - ✅ sh.600009 成功入库 306 条记录
2026-04-11 11:43:50,251 - TestRunner - INFO - 👉 正在处理: [sh.600010] 包钢股份...
2026-04-11 11:43:50,315 - Database - INFO - ✅ 成功同步 306 条记录到 stock_daily
2026-04-11 11:43:50,315 - TestRunner - INFO - ✅ sh.600010 成功入库 306 条记录
2026-04-11 11:43:50,816 - TestRunner - INFO - 👉 正在处理: [sh.600011] 华能国际...
2026-04-11 11:43:51,198 - Database - INFO - ✅ 成功同步 306 条记录到 stock_daily
2026-04-11 11:43:51,198 - TestRunner - INFO - ✅ sh.600011 成功入库 306 条记录
2026-04-11 11:43:51,699 - TestRunner - INFO - 👉 正在处理: [sh.600012] 皖通高速...
2026-04-11 11:43:51,774 - Database - INFO - ✅ 成功同步 306 条记录到 stock_daily
2026-04-11 11:43:51,774 - TestRunner - INFO - ✅ sh.600012 成功入库 306 条记录
2026-04-11 11:43:52,275 - TestRunner - INFO - 👉 正在处理: [sh.600015] 华夏银行...
2026-04-11 11:43:52,618 - Database - INFO - ✅ 成功同步 306 条记录到 stock_daily
2026-04-11 11:43:52,618 - TestRunner - INFO - ✅ sh.600015 成功入库 306 条记录
2026-04-11 11:43:53,119 - TestRunner - INFO - ------------------------------
2026-04-11 11:43:53,119 - TestRunner - INFO - 🏁 测试完成！
2026-04-11 11:43:53,119 - TestRunner - INFO - 📊 成功: 10 / 10
2026-04-11 11:43:53,119 - TestRunner - INFO - 💾 请去 MongoDB 查看集合 'stock_daily' 确认数据
2026-04-11 11:43:53,119 - TestRunner - INFO - ------------------------------
